"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Line Fit Blind Min","Line Fit Blind Max","Line Fit Blind Avg","Line Fit Blind Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Hybrid Min","Hybrid Max","Hybrid Avg","Hybrid Single","Sequence",
"1","1","1","1.000000","1","0","0","0.000000","0","2","2","2.000000","2","1","1","1.000000","1","0","0","0.000000","0","0",
"2","2","2","2.000000","2","1","1","1.000000","1","3","3","3.000000","3","2","2","2.000000","2","1","1","1.000000","1","2",
"3","2","3","2.450000","2","1","1","1.000000","1","3","3","3.000000","3","2","2","2.000000","2","1","1","1.000000","1","4",
"4","2","4","3.050000","3","1","2","1.180000","1","3","4","3.430001","3","2","3","2.390000","2","1","2","1.380000","1","6",
"5","1","5","3.470001","3","1","2","1.560000","2","3","4","3.500000","4","2","3","2.720001","2","1","3","1.650000","1","8",
"6","2","6","3.860001","6","1","2","1.640000","2","3","4","3.620000","4","3","3","3.000000","3","1","3","1.900000","1","10",
"7","2","7","4.440001","3","0","2","1.650000","1","3","4","3.660000","3","1","3","2.980000","3","1","3","2.040000","3","12",
"8","2","8","5.079999","3","1","2","1.680000","2","3","4","3.780001","3","3","4","3.170000","3","1","3","2.170000","3","14",
"9","2","9","5.500000","9","1","2","1.730000","1","3","4","3.770000","4","3","4","3.460000","4","1","3","2.260000","1","16",
"10","2","10","6.439999","5","1","2","1.800000","2","3","4","3.800001","4","3","4","3.610000","4","1","3","2.499999","3","18",
"11","2","11","6.569999","2","1","2","1.830000","2","3","4","3.810000","4","3","4","3.670000","4","1","3","2.430001","3","20",
"12","2","12","6.650001","12","1","2","1.830000","2","3","4","3.850000","4","3","4","3.860000","4","1","3","2.470000","3","22",
"13","2","13","7.120000","9","1","2","1.810000","2","3","4","3.820000","3","3","4","3.890000","4","1","3","2.520000","3","24",
"14","2","14","8.810002","4","1","2","1.880000","2","3","4","3.780001","3","4","4","4.000000","4","1","3","2.580000","3","26",
"15","2","15","9.429997","13","1","2","1.840000","2","3","4","3.860000","4","2","4","3.970000","4","1","3","2.580000","1","28",
"16","2","16","9.189997","7","1","2","1.950000","2","3","4","3.840000","4","2","5","4.090000","4","1","3","2.610000","3","30",
"17","2","17","9.520000","7","1","2","1.890000","2","3","4","3.860000","3","4","5","4.190001","5","1","3","2.549999","3","32",
"18","1","18","10.470001","10","1","2","1.920000","1","3","4","3.850001","3","4","5","4.299999","4","1","3","2.700000","3","34",
"19","2","19","10.630005","11","1","2","1.880000","2","3","4","3.960000","4","4","5","4.390002","4","1","3","2.660000","3","36",
"20","2","20","11.250005","14","1","2","1.860000","1","3","4","3.890000","4","3","5","4.469999","5","1","3","2.830000","3","38",
"21","2","20","10.910003","16","1","2","1.910000","2","3","4","3.860000","4","4","5","4.550001","5","1","3","2.730000","3","40",
"22","2","22","12.579999","16","0","2","1.860000","2","3","4","3.870001","4","4","5","4.690000","5","1","3","2.750000","3","42",
"23","2","23","11.259998","22","1","2","1.910000","2","3","4","3.870000","4","4","5","4.630000","4","1","3","2.710000","3","44",
"24","2","24","13.230000","15","1","2","1.910000","2","3","4","3.890000","4","4","5","4.660000","5","1","3","2.820000","1","46",
"25","2","25","14.040000","20","1","2","1.910000","2","3","4","3.930000","4","4","5","4.789999","5","1","3","2.810001","1","48",
"26","2","26","12.940001","9","1","2","1.930000","2","3","4","3.890000","4","4","5","4.860001","5","1","3","2.730000","3","50",
"27","2","27","13.249998","20","1","2","1.890000","2","3","4","3.940000","4","1","5","4.820003","5","0","3","2.730000","3","52",
"28","2","28","15.350001","26","1","2","1.950000","2","3","4","3.940001","4","3","5","4.920001","5","1","3","2.740000","3","54",
