"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Line Fit Blind Min","Line Fit Blind Max","Line Fit Blind Avg","Line Fit Blind Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Hybrid Min","Hybrid Max","Hybrid Avg","Hybrid Single","Sequence",
"1","1","1","1.000000","1","0","0","0.000000","0","2","2","2.000000","2","1","1","1.000000","1","0","0","0.000000","0","4",
"2","1","2","1.690000","1","0","1","0.430000","0","2","3","2.379999","3","1","2","1.660000","1","0","1","0.340000","1","4",
"3","1","3","2.180000","2","0","1","0.540000","1","2","3","2.440000","3","2","2","2.000000","2","0","1","0.520000","0","6",
"4","1","4","2.850000","4","0","2","0.810000","0","2","4","2.770000","3","2","3","2.300000","3","0","2","0.890000","1","11",
"5","1","5","3.330000","1","0","3","1.180000","3","2","5","3.030000","2","2","3","2.739999","3","0","3","1.370000","0","12",
"6","1","6","3.700000","4","0","3","1.230000","0","2","5","3.459999","4","2","3","2.790001","2","0","3","1.670000","1","14",
"7","1","7","4.030000","4","0","3","1.490000","0","2","6","3.790000","3","3","3","3.000000","3","0","4","1.560000","4","16",
"8","1","8","4.909999","4","0","4","1.660000","2","2","6","3.590000","3","2","4","3.170000","3","0","4","1.800000","3","19",
"9","1","9","5.340000","9","0","6","1.660000","1","2","7","3.810001","3","3","4","3.440000","4","0","5","2.220000","3","22",
"10","1","10","5.510002","6","0","5","1.750000","0","2","7","3.910000","3","3","4","3.570001","3","0","5","2.390000","3","22",
"11","1","11","6.320000","1","0","4","1.650000","2","2","8","3.780000","3","3","4","3.650000","3","0","5","2.320000","3","26",
"12","1","12","6.250001","2","0","4","1.940000","2","2","7","3.880000","7","3","4","3.780000","4","0","5","2.689999","0","27",
"13","1","13","7.390001","7","0","5","2.090000","2","2","7","3.970000","4","2","4","3.860001","4","0","5","2.309999","4","31",
"14","1","14","7.730001","2","0","6","2.190000","0","2","8","4.400002","5","2","4","3.890000","4","0","5","2.610000","3","32",
"15","1","15","9.270003","6","0","5","2.130000","3","2","7","4.299999","4","4","4","4.000000","4","0","6","3.000000","3","36",
"16","1","16","8.699996","16","0","5","2.320000","3","2","8","4.319999","4","3","5","4.200001","4","0","6","3.139999","1","39",
"17","1","17","9.750000","15","0","5","2.260000","4","2","8","4.339999","2","4","5","4.150000","4","0","5","2.959999","3","40",
"18","1","18","9.570002","9","0","6","2.310000","3","2","8","4.230001","2","4","5","4.360000","4","0","7","2.910000","3","41",
"19","1","19","10.249998","10","0","5","2.350000","3","2","7","4.330000","4","4","5","4.380000","4","0","6","3.020000","5","45",
"20","1","20","10.690002","6","0","5","2.540000","3","2","8","4.490002","7","3","5","4.440003","4","0","6","3.029999","3","46",
"21","1","21","12.380001","11","0","4","2.500000","2","2","7","4.379998","4","3","5","4.540002","5","0","7","3.260000","4","46",
"22","1","22","12.120002","8","0","5","2.260000","4","2","8","4.380000","4","4","5","4.690001","5","0","7","3.000000","0","48",
